Taxon,Taxon_ID,Abundance,NA_Col,Species,Rel_Abundance
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,2|1239|186801|186802|216572|216851|853,14.30486,NA,Faecalibacterium prausnitzii,0.07152427854271638
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_faecium,2|1239|909932|1843488|909930|33024|33025,8.13058,NA,Phascolarctobacterium faecium,0.040652887804133626
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_gnavus,2|1239|186801|186802|186803|2316020|33038,7.91668,NA,Ruminococcus gnavus,0.039583388124983535
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_2_1_46FAA,2|1239|186801|186802|186803||742723,7.83285,NA,Lachnospiraceae bacterium 2 1 46FAA,0.03916423825072849
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans,2|1239|186801|186802|216572|1905344|1550024,6.73632,NA,Ruthenibacterium lactatiformans,0.03368158989552301
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_bolteae,2|1239|186801|186802|186803|2719313|208479,4.39724,NA,Enterocloster bolteae,0.02198619340414196
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_unclassified|s__Erysipelotrichaceae_bacterium_3_1_53,2|1239|526524|526525|128827||658659,3.51106,NA,Erysipelotrichaceae bacterium 3 1 53,0.017555294733411567
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium,2|1239|186801|186802|31979||1898204,3.4319,NA,Clostridiaceae bacterium,0.01715949485215153
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AM22_11AC,2|1239|186801|186802|31979|1485|2293024,2.99761,NA,Clostridium sp AM22 11AC,0.014988045503586336
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_torques,2|1239|186801|186802|186803|2316020|33039,2.70637,NA,Ruminococcus torques,0.013531845940446208
